angle_deg,uncorrected_left_shift_minutes,uncorrected_left_correlation,uncorrected_right_shift_minutes,uncorrected_right_correlation,corrected_left_shift_minutes,corrected_left_correlation,corrected_right_shift_minutes,corrected_right_correlation
8.500000000000000000e+01,-2.200000000000000000e+01,8.805387825627605247e-01,2.200000000000000000e+01,8.805387825627605247e-01,-2.200000000000000000e+01,8.805387825627605247e-01,2.200000000000000000e+01,8.805387825627605247e-01
9.000000000000000000e+01,-2.200000000000000000e+01,8.805317423640381946e-01,2.200000000000000000e+01,8.805317423640381946e-01,-2.200000000000000000e+01,8.805317423640381946e-01,2.200000000000000000e+01,8.805317423640381946e-01
9.500000000000000000e+01,-2.200000000000000000e+01,8.805375975571712033e-01,2.200000000000000000e+01,8.805375975571712033e-01,-2.200000000000000000e+01,8.805375975571712033e-01,2.200000000000000000e+01,8.805375975571712033e-01
1.000000000000000000e+02,-2.200000000000000000e+01,8.805554818433356523e-01,2.200000000000000000e+01,8.805554818433356523e-01,-2.200000000000000000e+01,8.805554818433356523e-01,2.200000000000000000e+01,8.805554818433356523e-01
1.050000000000000000e+02,-2.200000000000000000e+01,8.805425033969990212e-01,2.200000000000000000e+01,8.805425033969990212e-01,-2.200000000000000000e+01,8.805425033969990212e-01,2.200000000000000000e+01,8.805425033969990212e-01
1.100000000000000000e+02,-2.200000000000000000e+01,8.805208886371926891e-01,2.200000000000000000e+01,8.805208886371926891e-01,-2.200000000000000000e+01,8.805208886371926891e-01,2.200000000000000000e+01,8.805208886371926891e-01
1.150000000000000000e+02,-2.200000000000000000e+01,8.805131252522148122e-01,2.200000000000000000e+01,8.805131252522148122e-01,-2.200000000000000000e+01,8.805131252522148122e-01,2.200000000000000000e+01,8.805131252522148122e-01
1.200000000000000000e+02,-2.200000000000000000e+01,8.804304900503253650e-01,2.200000000000000000e+01,8.804304900503253650e-01,-2.200000000000000000e+01,8.804304900503253650e-01,2.200000000000000000e+01,8.804304900503253650e-01
1.250000000000000000e+02,-2.200000000000000000e+01,8.804155922799536960e-01,2.200000000000000000e+01,8.804155922799536960e-01,-2.200000000000000000e+01,8.804155922799536960e-01,2.200000000000000000e+01,8.804155922799536960e-01
1.300000000000000000e+02,-2.200000000000000000e+01,8.803882561294068543e-01,2.200000000000000000e+01,8.803882561294068543e-01,-2.200000000000000000e+01,8.803882561294068543e-01,2.200000000000000000e+01,8.803882561294068543e-01
