distance_km,best_shift_minutes,maximum_correlation
1.840000000000000000e+02,-4.000000000000000000e+00,9.957949438850720592e-01
1.850000000000000000e+02,-4.000000000000000000e+00,9.957798315898852559e-01
1.860000000000000000e+02,-4.000000000000000000e+00,9.957788684027217840e-01
1.870000000000000000e+02,-4.000000000000000000e+00,9.957917588943502318e-01
1.880000000000000000e+02,-4.000000000000000000e+00,9.958168586437520231e-01
1.890000000000000000e+02,-4.000000000000000000e+00,9.958495485480489684e-01
1.900000000000000000e+02,-4.000000000000000000e+00,9.958819233141793514e-01
1.910000000000000000e+02,-4.000000000000000000e+00,9.959051501199083223e-01
1.920000000000000000e+02,-4.000000000000000000e+00,9.959142221815111551e-01
1.930000000000000000e+02,-4.000000000000000000e+00,9.959109970254726996e-01
1.940000000000000000e+02,-4.000000000000000000e+00,9.959016575905551560e-01
1.950000000000000000e+02,-4.000000000000000000e+00,9.958912366153858109e-01
1.960000000000000000e+02,-4.000000000000000000e+00,9.958810165524356606e-01
1.970000000000000000e+02,-4.000000000000000000e+00,9.958693815134139760e-01
1.980000000000000000e+02,-4.000000000000000000e+00,9.958531250063551443e-01
1.990000000000000000e+02,-4.000000000000000000e+00,9.958289272660783009e-01
2.000000000000000000e+02,-4.000000000000000000e+00,9.957953320734556080e-01
2.010000000000000000e+02,-4.000000000000000000e+00,9.957531979591509597e-01
2.020000000000000000e+02,-4.000000000000000000e+00,9.957037411967205598e-01
2.030000000000000000e+02,-4.000000000000000000e+00,9.956470395458453249e-01
2.040000000000000000e+02,-4.000000000000000000e+00,9.955837238895187680e-01
2.050000000000000000e+02,-4.000000000000000000e+00,9.955177212147551247e-01
2.060000000000000000e+02,-4.000000000000000000e+00,9.954557348190939958e-01
2.070000000000000000e+02,-4.000000000000000000e+00,9.954035540739399890e-01
2.080000000000000000e+02,-4.000000000000000000e+00,9.953631799899598231e-01
2.090000000000000000e+02,-4.000000000000000000e+00,9.953329710570159028e-01
2.100000000000000000e+02,-4.000000000000000000e+00,9.953095614247779999e-01
2.110000000000000000e+02,-4.000000000000000000e+00,9.952891779201219480e-01
2.120000000000000000e+02,-4.000000000000000000e+00,9.952674703035659931e-01
2.130000000000000000e+02,-4.000000000000000000e+00,9.952393677030081376e-01
2.140000000000000000e+02,-4.000000000000000000e+00,9.952009369008983919e-01
2.150000000000000000e+02,-4.000000000000000000e+00,9.951521750574563452e-01
2.160000000000000000e+02,-4.000000000000000000e+00,9.950967173059922510e-01
2.170000000000000000e+02,-4.000000000000000000e+00,9.950373876484759350e-01
2.180000000000000000e+02,-4.000000000000000000e+00,9.949722703872181384e-01
2.190000000000000000e+02,-4.000000000000000000e+00,9.948962351098656898e-01
2.200000000000000000e+02,-4.000000000000000000e+00,9.948070407604271415e-01
2.210000000000000000e+02,-4.000000000000000000e+00,9.947102343533269497e-01
2.220000000000000000e+02,-4.000000000000000000e+00,9.946178489210251161e-01
2.230000000000000000e+02,-4.000000000000000000e+00,9.945406967959168343e-01
2.240000000000000000e+02,-4.000000000000000000e+00,9.944799363505585355e-01
2.250000000000000000e+02,-4.000000000000000000e+00,9.944259742352395959e-01
2.260000000000000000e+02,-4.000000000000000000e+00,9.943661521086646360e-01
2.270000000000000000e+02,-4.000000000000000000e+00,9.942930625188250993e-01
2.280000000000000000e+02,-4.000000000000000000e+00,9.942057111202956543e-01
2.290000000000000000e+02,-4.000000000000000000e+00,9.941055735812706073e-01
2.300000000000000000e+02,-4.000000000000000000e+00,9.939947396032390303e-01
2.310000000000000000e+02,-4.000000000000000000e+00,9.938775106795201264e-01
2.320000000000000000e+02,-4.000000000000000000e+00,9.937603522226033936e-01
2.330000000000000000e+02,-4.000000000000000000e+00,9.936482089743522428e-01
2.340000000000000000e+02,-4.000000000000000000e+00,9.935417473911363206e-01
2.350000000000000000e+02,-4.000000000000000000e+00,9.934387401789854799e-01
2.360000000000000000e+02,-4.000000000000000000e+00,9.933365366565999333e-01
2.370000000000000000e+02,-4.000000000000000000e+00,9.932324771789641238e-01
2.380000000000000000e+02,-4.000000000000000000e+00,9.931241348568613514e-01
2.390000000000000000e+02,-4.000000000000000000e+00,9.930112530383261582e-01
2.400000000000000000e+02,-6.000000000000000000e+00,9.929024857938116844e-01
2.410000000000000000e+02,-6.000000000000000000e+00,9.928058752182783442e-01
2.420000000000000000e+02,-6.000000000000000000e+00,9.927182205656294167e-01
2.430000000000000000e+02,-6.000000000000000000e+00,9.926382533490816229e-01
2.440000000000000000e+02,-6.000000000000000000e+00,9.925627110162834610e-01
2.450000000000000000e+02,-6.000000000000000000e+00,9.924888026126150731e-01
2.460000000000000000e+02,-6.000000000000000000e+00,9.924165523685659629e-01
2.470000000000000000e+02,-6.000000000000000000e+00,9.923501047552532039e-01
2.480000000000000000e+02,-6.000000000000000000e+00,9.922966405201554263e-01
2.490000000000000000e+02,-6.000000000000000000e+00,9.922620993435826708e-01
2.500000000000000000e+02,-6.000000000000000000e+00,9.922459415704519836e-01
