distance_km,best_shift_minutes,maximum_correlation
1.620000000000000000e+02,4.000000000000000000e+00,9.733161816791534582e-01
1.630000000000000000e+02,4.000000000000000000e+00,9.726948450152693715e-01
1.640000000000000000e+02,4.000000000000000000e+00,9.716451907648274711e-01
1.650000000000000000e+02,4.000000000000000000e+00,9.701640945853629017e-01
1.660000000000000000e+02,4.000000000000000000e+00,9.684182515046911854e-01
1.670000000000000000e+02,4.000000000000000000e+00,9.666805922884241786e-01
1.680000000000000000e+02,4.000000000000000000e+00,9.652358367612430268e-01
1.690000000000000000e+02,2.000000000000000000e+00,9.644220293925852561e-01
1.700000000000000000e+02,2.000000000000000000e+00,9.640830967052740341e-01
1.710000000000000000e+02,4.000000000000000000e+00,9.642266996410587820e-01
1.720000000000000000e+02,4.000000000000000000e+00,9.648279707333092814e-01
1.730000000000000000e+02,4.000000000000000000e+00,9.655548636510349336e-01
1.740000000000000000e+02,4.000000000000000000e+00,9.661928820288195885e-01
1.750000000000000000e+02,4.000000000000000000e+00,9.665970684066440555e-01
1.760000000000000000e+02,4.000000000000000000e+00,9.667061523273130508e-01
1.770000000000000000e+02,4.000000000000000000e+00,9.665402640009033153e-01
1.780000000000000000e+02,6.000000000000000000e+00,9.664203463938557670e-01
1.790000000000000000e+02,6.000000000000000000e+00,9.662063637270426053e-01
1.800000000000000000e+02,6.000000000000000000e+00,9.658305080980901236e-01
1.810000000000000000e+02,6.000000000000000000e+00,9.654186930149302182e-01
1.820000000000000000e+02,6.000000000000000000e+00,9.650083189553948504e-01
1.830000000000000000e+02,4.000000000000000000e+00,9.647888265426304288e-01
1.840000000000000000e+02,4.000000000000000000e+00,9.647175757806267793e-01
1.850000000000000000e+02,4.000000000000000000e+00,9.644429844348912928e-01
1.860000000000000000e+02,4.000000000000000000e+00,9.640073726336834126e-01
1.870000000000000000e+02,4.000000000000000000e+00,9.635241852671470042e-01
1.880000000000000000e+02,4.000000000000000000e+00,9.629032443380307615e-01
1.890000000000000000e+02,4.000000000000000000e+00,9.619309097576246304e-01
1.900000000000000000e+02,4.000000000000000000e+00,9.605676685909825263e-01
1.910000000000000000e+02,4.000000000000000000e+00,9.590234785615463498e-01
1.920000000000000000e+02,4.000000000000000000e+00,9.576063244892946136e-01
1.930000000000000000e+02,4.000000000000000000e+00,9.565591610929023991e-01
1.940000000000000000e+02,4.000000000000000000e+00,9.559746520516206880e-01
1.950000000000000000e+02,4.000000000000000000e+00,9.557921015061539016e-01
1.960000000000000000e+02,4.000000000000000000e+00,9.558648245255554343e-01
1.970000000000000000e+02,4.000000000000000000e+00,9.560651775436127542e-01
1.980000000000000000e+02,4.000000000000000000e+00,9.563673208450251817e-01
1.990000000000000000e+02,6.000000000000000000e+00,9.568828418117463208e-01
2.000000000000000000e+02,6.000000000000000000e+00,9.577619714910383664e-01
2.010000000000000000e+02,6.000000000000000000e+00,9.588538248386409002e-01
2.020000000000000000e+02,4.000000000000000000e+00,9.603375446177148111e-01
2.030000000000000000e+02,4.000000000000000000e+00,9.619551500592780080e-01
2.040000000000000000e+02,4.000000000000000000e+00,9.633643582497015689e-01
2.050000000000000000e+02,4.000000000000000000e+00,9.642806286633108792e-01
2.060000000000000000e+02,4.000000000000000000e+00,9.645862726094645012e-01
2.070000000000000000e+02,4.000000000000000000e+00,9.643809425400491353e-01
2.080000000000000000e+02,4.000000000000000000e+00,9.639066105057400025e-01
2.090000000000000000e+02,4.000000000000000000e+00,9.633909232000565925e-01
2.100000000000000000e+02,6.000000000000000000e+00,9.633502871786935318e-01
2.110000000000000000e+02,6.000000000000000000e+00,9.634924852088364577e-01
2.120000000000000000e+02,6.000000000000000000e+00,9.637717614379960329e-01
2.130000000000000000e+02,6.000000000000000000e+00,9.642182917816417564e-01
2.140000000000000000e+02,6.000000000000000000e+00,9.648996568522071327e-01
2.150000000000000000e+02,6.000000000000000000e+00,9.658513040750881240e-01
2.160000000000000000e+02,6.000000000000000000e+00,9.670199823231228065e-01
2.170000000000000000e+02,6.000000000000000000e+00,9.682386039578735337e-01
2.180000000000000000e+02,6.000000000000000000e+00,9.692913279766619539e-01
2.190000000000000000e+02,6.000000000000000000e+00,9.700330641675852794e-01
2.200000000000000000e+02,6.000000000000000000e+00,9.704006751546011555e-01
2.210000000000000000e+02,6.000000000000000000e+00,9.703781855151878410e-01
2.220000000000000000e+02,6.000000000000000000e+00,9.700420752715690487e-01
2.230000000000000000e+02,6.000000000000000000e+00,9.695379803386892092e-01
2.240000000000000000e+02,6.000000000000000000e+00,9.689802076621149007e-01
2.250000000000000000e+02,6.000000000000000000e+00,9.684428373951584623e-01
2.260000000000000000e+02,6.000000000000000000e+00,9.680032528308135653e-01
2.270000000000000000e+02,6.000000000000000000e+00,9.677321932118119197e-01
2.280000000000000000e+02,6.000000000000000000e+00,9.676588718961873781e-01
2.290000000000000000e+02,6.000000000000000000e+00,9.677614571008765765e-01
2.300000000000000000e+02,6.000000000000000000e+00,9.679813549780016402e-01
2.310000000000000000e+02,6.000000000000000000e+00,9.682554808923002909e-01
2.320000000000000000e+02,6.000000000000000000e+00,9.685481679203163941e-01
2.330000000000000000e+02,6.000000000000000000e+00,9.688438808419114201e-01
2.340000000000000000e+02,6.000000000000000000e+00,9.691072213291926918e-01
2.350000000000000000e+02,6.000000000000000000e+00,9.692655836112079593e-01
