angle_deg,slope_km_per_min,slope_m_per_s,dominant_ft_cyc_per_min,dominant_kx_cyc_per_km,dominant_period_min,dominant_wavelength_km
1.050000000000000000e+02,-1.787499999999999867e+00,-2.979166666666666430e+01,-1.785714285714285659e-03,-9.990009990009990001e-04,5.600000000000000000e+02,1.001000000000000000e+03
1.100000000000000000e+02,1.787499999999999867e+00,2.979166666666666430e+01,-1.785714285714285659e-03,9.990009990009990001e-04,5.600000000000000000e+02,1.001000000000000000e+03
1.150000000000000000e+02,1.787499999999999867e+00,2.979166666666666430e+01,-1.785714285714285659e-03,9.990009990009990001e-04,5.600000000000000000e+02,1.001000000000000000e+03
1.200000000000000000e+02,1.787499999999999867e+00,2.979166666666666430e+01,-1.785714285714285659e-03,9.990009990009990001e-04,5.600000000000000000e+02,1.001000000000000000e+03
1.250000000000000000e+02,1.787499999999999867e+00,2.979166666666666430e+01,-1.785714285714285659e-03,9.990009990009990001e-04,5.600000000000000000e+02,1.001000000000000000e+03
1.300000000000000000e+02,1.787499999999999867e+00,2.979166666666666430e+01,-1.785714285714285659e-03,9.990009990009990001e-04,5.600000000000000000e+02,1.001000000000000000e+03
1.350000000000000000e+02,1.787499999999999867e+00,2.979166666666666430e+01,-1.785714285714285659e-03,9.990009990009990001e-04,5.600000000000000000e+02,1.001000000000000000e+03
1.400000000000000000e+02,1.787499999999999867e+00,2.979166666666666430e+01,-1.785714285714285659e-03,9.990009990009990001e-04,5.600000000000000000e+02,1.001000000000000000e+03
1.450000000000000000e+02,1.787499999999999867e+00,2.979166666666666430e+01,-1.785714285714285659e-03,9.990009990009990001e-04,5.600000000000000000e+02,1.001000000000000000e+03
1.500000000000000000e+02,1.787499999999999867e+00,2.979166666666666430e+01,-1.785714285714285659e-03,9.990009990009990001e-04,5.600000000000000000e+02,1.001000000000000000e+03
1.550000000000000000e+02,1.787499999999999867e+00,2.979166666666666430e+01,-1.785714285714285659e-03,9.990009990009990001e-04,5.600000000000000000e+02,1.001000000000000000e+03
1.600000000000000000e+02,1.787499999999999867e+00,2.979166666666666430e+01,-1.785714285714285659e-03,9.990009990009990001e-04,5.600000000000000000e+02,1.001000000000000000e+03
1.650000000000000000e+02,1.787499999999999867e+00,2.979166666666666430e+01,-1.785714285714285659e-03,9.990009990009990001e-04,5.600000000000000000e+02,1.001000000000000000e+03
1.700000000000000000e+02,1.787499999999999867e+00,2.979166666666666430e+01,-1.785714285714285659e-03,9.990009990009990001e-04,5.600000000000000000e+02,1.001000000000000000e+03
1.750000000000000000e+02,1.787499999999999867e+00,2.979166666666666430e+01,-1.785714285714285659e-03,9.990009990009990001e-04,5.600000000000000000e+02,1.001000000000000000e+03
