image_index,dominant_wavelength_km,dominant_theta_deg,pt1,pt2,pt3,pt4,pt5,pt6,pt7
17,10.678718833360277,75.0,-0.5511546644721002,0.19185340185104205,0.8012199894423813,0.9668057032554052,0.6511399289266833,0.005420927011044574,-0.6901627850770163
18,10.079368399158984,80.0,-0.536656868260838,0.2075261415236318,0.8198717427255668,0.9684500883968008,0.6357445880666222,-0.012142162025080894,-0.6992832608089528
19,10.079368399158984,80.0,-0.5413665296614856,0.20589034407714424,0.8229210732421111,0.9646177563889837,0.6178672537150938,-0.040301680176482835,-0.7153024429038222
20,10.079368399158984,80.0,-0.4992474347075415,0.26057733286840046,0.8641479306497877,0.9617892330858626,0.5764902864810875,-0.10339699427562699,-0.7733227154977829
21,10.079368399158984,80.0,-0.46195359209006104,0.2953990795997943,0.8682448565541978,0.9443671050149005,0.5376326974480585,-0.14414037522851686,-0.7924237827266152
22,10.079368399158984,80.0,-0.42564436361037394,0.32932555992823764,0.8877152992476929,0.9324814198091511,0.5144313691155453,-0.1601848373134609,-0.7969310908775842
23,10.079368399158984,80.0,-0.4125603356433285,0.35872966377341586,0.9052261569793558,0.9432724295351382,0.5109140054520198,-0.17329646416896805,-0.8063483016590893
24,10.678718833360275,80.0,-0.3609884056243362,0.490283868241455,0.9180100238196358,0.9286771591104637,0.5000615869011376,-0.17431057046011333,-0.8019874008281197
25,10.678718833360277,75.0,-0.36098519831738085,0.4712149510992474,0.8975854554065259,0.904128828596267,0.4728445688471745,-0.19497476995534602,-0.8090967524863293
26,10.678718833360275,80.0,-0.37889493806864927,0.4663183678270928,0.9170826950316324,0.9302156400500963,0.48652058948280974,-0.20911448786291875,-0.8320415723891861
27,10.678718833360277,75.0,-0.31855161218585926,0.49401372086135065,0.9189135490139368,0.9108325978837843,0.46059910540674553,-0.21727275134141155,-0.8198072657694049
28,10.678718833360277,75.0,-0.27650622184122575,0.5039397622281363,0.8864293443355811,0.8507802812299603,0.39967176797684223,-0.25193612227208406,-0.8148305547199597
29,10.678718833360277,75.0,-0.2715821439619547,0.48479186428735854,0.8886528245160878,0.8676778829044818,0.41737945298152246,-0.2401833279405441,-0.8058934207311403
30,10.678718833360275,80.0,-0.3127518972857247,0.45223291107830277,0.895486545070739,0.8970088170204871,0.4579314858252135,-0.21606036456078626,-0.8135289888198413
31,10.678718833360275,80.0,-0.3556187218324417,0.38530246145253355,0.8672622967161705,0.9083149458080293,0.5128875867483076,-0.1340512426034538,-0.7462078064884672
32,10.079368399158986,75.0,-0.338072936148891,0.3745672153262549,0.8649261757477675,0.8855507427609868,0.48037797226509804,-0.16652896971189313,-0.7395993927310534
33,10.079368399158986,75.0,-0.24466352035224337,0.43090405672582377,0.8563214738151106,0.8109252696077804,0.3446202996863925,-0.2991619860206415,-0.7895245189830018
34,10.678718833360275,84.99999999999999,-0.21642984932499632,0.5702650492239891,0.9780439053674217,0.8905576192715192,0.36001219936066775,-0.352861683279555,-0.8872472312342135
35,10.678718833360277,75.0,-0.17280011923304195,0.6065527310829066,0.9548494528922726,0.8397786994482048,0.3214047552564867,-0.35275706957603425,-0.8598387993009022
