angle_deg,uncorrected_slope_min_per_km,uncorrected_intercept_minutes,uncorrected_speed_km_per_min,uncorrected_speed_m_per_s,uncorrected_r_squared,uncorrected_number_of_fit_points,corrected_slope_min_per_km,corrected_intercept_minutes,corrected_speed_km_per_min,corrected_speed_m_per_s,corrected_r_squared,corrected_number_of_fit_points
1.100000000000000000e+02,9.035863996273868493e-02,-3.859649122807021215e-01,1.106701030927835383e+01,1.844501718213059007e+02,9.608520226228043359e-01,1.140000000000000000e+02,9.035863996273868493e-02,-3.859649122807021215e-01,1.106701030927835383e+01,1.844501718213059007e+02,9.608520226228043359e-01,1.140000000000000000e+02
1.150000000000000000e+02,8.260464762450969722e-02,-2.904757188071707685e-01,1.210585637439713658e+01,2.017642729066189418e+02,9.683941163786597972e-01,1.330000000000000000e+02,8.260464762450969722e-02,-2.904757188071707685e-01,1.210585637439713658e+01,2.017642729066189418e+02,9.683941163786597972e-01,1.330000000000000000e+02
1.200000000000000000e+02,7.544834717420104142e-02,-1.545739490095976998e-01,1.325410081802218798e+01,2.209016803003698044e+02,9.544323219127294200e-01,1.140000000000000000e+02,7.544834717420104142e-02,-1.545739490095976998e-01,1.325410081802218798e+01,2.209016803003698044e+02,9.544323219127294200e-01,1.140000000000000000e+02
1.250000000000000000e+02,6.827626573017264722e-02,-3.078431372549025880e-01,1.464637805400771953e+01,2.441063009001286446e+02,9.496533860204262600e-01,1.350000000000000000e+02,6.827626573017264722e-02,-3.078431372549025880e-01,1.464637805400771953e+01,2.441063009001286446e+02,9.496533860204262600e-01,1.350000000000000000e+02
1.300000000000000000e+02,6.159776902887137418e-02,-4.948326771653547840e-01,1.623435419440746230e+01,2.705725699067910455e+02,9.250736214834143212e-01,1.270000000000000000e+02,6.159776902887137418e-02,-4.948326771653547840e-01,1.623435419440746230e+01,2.705725699067910455e+02,9.250736214834143212e-01,1.270000000000000000e+02
1.350000000000000000e+02,5.519901401023375592e-02,-4.755014672828591360e-01,1.811626562413963626e+01,3.019377604023272852e+02,9.194154326871186722e-01,1.160000000000000000e+02,5.519901401023375592e-02,-4.755014672828591360e-01,1.811626562413963626e+01,3.019377604023272852e+02,9.194154326871186722e-01,1.160000000000000000e+02
1.400000000000000000e+02,4.212104474078750410e-02,-2.791604197901052520e-01,2.374110153615586327e+01,3.956850256025977046e+02,8.704836296467555190e-01,1.150000000000000000e+02,4.212104474078750410e-02,-2.791604197901052520e-01,2.374110153615586327e+01,3.956850256025977046e+02,8.704836296467555190e-01,1.150000000000000000e+02
1.450000000000000000e+02,3.698685814930225552e-02,-2.192114889581353310e-01,2.703663003663004005e+01,4.506105006105006510e+02,8.414510228966264327e-01,1.210000000000000000e+02,3.698685814930225552e-02,-2.192114889581353310e-01,2.703663003663004005e+01,4.506105006105006510e+02,8.414510228966264327e-01,1.210000000000000000e+02
1.500000000000000000e+02,3.714200094182113637e-02,-4.155429028069119179e-01,2.692369755647764151e+01,4.487282926079606682e+02,7.761069285348604074e-01,1.410000000000000000e+02,3.714200094182113637e-02,-4.155429028069119179e-01,2.692369755647764151e+01,4.487282926079606682e+02,7.761069285348604074e-01,1.410000000000000000e+02
1.550000000000000000e+02,2.931640265774294180e-02,-1.006521783862274422e+00,3.411059711774983327e+01,5.685099519624972118e+02,7.317106728678283156e-01,1.390000000000000000e+02,2.931640265774294180e-02,-1.006521783862274422e+00,3.411059711774983327e+01,5.685099519624972118e+02,7.317106728678283156e-01,1.390000000000000000e+02
1.600000000000000000e+02,1.323702608414831575e-02,-6.056631048660480188e-01,7.554566967255024679e+01,1.259094494542503980e+03,5.994935188286278915e-01,1.620000000000000000e+02,1.323702608414831575e-02,-6.056631048660480188e-01,7.554566967255024679e+01,1.259094494542503980e+03,5.994935188286278915e-01,1.620000000000000000e+02
1.650000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,nan,1.640000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,nan,1.640000000000000000e+02
1.700000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,nan,1.540000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,nan,1.540000000000000000e+02
1.750000000000000000e+02,-1.772968097120490583e-02,5.308371758762333442e-03,-5.640259413714877468e+01,-9.400432356191462304e+02,6.005461105245897269e-01,2.420000000000000000e+02,-1.772968097120490583e-02,5.308371758762333442e-03,-5.640259413714877468e+01,-9.400432356191462304e+02,6.005461105245897269e-01,2.420000000000000000e+02
