saber_lat,saber_lon,saber_alt,saber_temp,saber_time,saber_local_time,saber_file,saber_i,saber_j,awe_lat,awe_lon,awe_temp_nearest,awe_temp_avg,awe_MLCloud_nearest,awe_time_nearest,awe_local_time_nearest,awe_file_nearest,awe_x_nearest,distance_km_nearest,peak_altitude_km,fwhm_center_km,fwhm_width_km,z_left_km,z_right_km,count_in_window,z_effective_km,T_weighted_K,T_weighted_std_K,saber_profile_mean_local_time_h,delta_temp_simple_K,delta_temp_weighted_K,delta_temp_simple_nearest_K,delta_temp_weighted_nearest_K,awe_temp_std,awe_count_used
35.89103699,-127.0354767,87.18738556,195.918457,2024-01-11T04:38:59.007000,20.181,SABER_L2A_2024011_119843_02.08.nc,38,191,36.37607956,-128.9235382,208.9400024,204.7639465,11,2024-01-11T04:43:58.672213,20.138,awe_l3a_tmp_2024011T0441_00778_v01.nc,117,180.3563346,83.51,84.97,7.36,81.29,88.66,68,83.55,211.33,10.73,20.19,-8.845489502,6.566053467,-13.02154541,2.389997559,1.918628884,38
35.89438629,-127.02565,86.81987762,198.302063,2024-01-11T04:38:58.959000,20.181,SABER_L2A_2024011_119843_02.08.nc,38,192,36.37607956,-128.9235382,208.9400024,204.7639465,11,2024-01-11T04:43:58.672213,20.138,awe_l3a_tmp_2024011T0441_00778_v01.nc,117,181.0919088,83.51,84.97,7.36,81.29,88.66,68,83.55,211.33,10.73,20.19,-6.461883545,6.566053467,-10.63793945,2.389997559,1.918628884,38
39.68202209,-151.3735504,87.34225464,204.3244629,2024-01-11T06:14:31.831000,20.151,SABER_L2A_2024011_119844_02.08.nc,37,191,36.47431564,-152.4728851,221.3999939,218.9963636,48,2024-01-11T06:16:43.481134,20.114,awe_l3a_tmp_2024011T0614_00779_v01.nc,105,374.4674797,81.79,83.09,7.04,79.57,86.6,68,81.89,220.47,10.07,20.16,-14.67190066,1.473636447,-17.07553101,-0.929993896,2.354917041,22
39.67986679,-151.3631744,86.97332764,205.6688538,2024-01-11T06:14:31.875000,20.151,SABER_L2A_2024011_119844_02.08.nc,37,192,36.47431564,-152.4728851,221.3999939,218.9963636,48,2024-01-11T06:16:43.481134,20.114,awe_l3a_tmp_2024011T0614_00779_v01.nc,105,374.4741387,81.79,83.09,7.04,79.57,86.6,68,81.89,220.47,10.07,20.16,-13.32750979,1.473636447,-15.73114014,-0.929993896,2.354917041,22
39.6775322,-151.3527832,86.60427856,207.2477722,2024-01-11T06:14:31.921000,20.152,SABER_L2A_2024011_119844_02.08.nc,37,193,36.47431564,-152.4728851,221.3999939,218.9963636,48,2024-01-11T06:16:43.481134,20.114,awe_l3a_tmp_2024011T0614_00779_v01.nc,105,374.4641394,81.79,83.09,7.04,79.57,86.6,68,81.89,220.47,10.07,20.16,-11.74859134,1.473636447,-14.15222168,-0.929993896,2.354917041,22
36.17969513,-151.4003906,87.22438049,194.3310242,2024-01-11T06:15:32.786000,20.166,SABER_L2A_2024011_119844_02.08.nc,38,191,36.47431564,-152.4728851,221.3999939,216.0672715,48,2024-01-11T06:16:43.481134,20.114,awe_l3a_tmp_2024011T0614_00779_v01.nc,105,102.8955785,82.07,83.36,6.27,80.22,86.49,68,82.1,222.03,10.49,20.18,-21.73624732,5.962728507,-27.06896973,0.630006104,3.864638619,44
36.18272781,-151.3905182,86.85684204,196.9223633,2024-01-11T06:15:32.743000,20.166,SABER_L2A_2024011_119844_02.08.nc,38,192,36.47431564,-152.4728851,221.3999939,216.0672715,48,2024-01-11T06:16:43.481134,20.114,awe_l3a_tmp_2024011T0614_00779_v01.nc,105,103.6337688,82.07,83.36,6.27,80.22,86.49,68,82.1,222.03,10.49,20.18,-19.14490821,5.962728507,-24.47763062,0.630006104,3.864638619,44
32.18571091,-151.3045197,87.35240936,215.4715271,2024-01-11T06:16:42.403000,20.191,SABER_L2A_2024011_119844_02.08.nc,39,192,35.22299576,-154.3210754,214.5099945,215.6999986,25,2024-01-11T06:16:15.202646,19.983,awe_l3a_tmp_2024011T0614_00779_v01.nc,83,444.0225885,84.03,84.95,7.01,81.44,88.46,68,84.05,211.5,7.18,20.21,-0.228471507,-4.199998607,0.961532593,-3.009994507,4.154251973,46
32.18397903,-151.2949982,86.98403168,216.4375763,2024-01-11T06:16:42.447000,20.192,SABER_L2A_2024011_119844_02.08.nc,39,193,35.22299576,-154.3210754,214.5099945,215.8726654,25,2024-01-11T06:16:15.202646,19.983,awe_l3a_tmp_2024011T0614_00779_v01.nc,83,444.7435705,84.03,84.95,7.01,81.44,88.46,68,84.05,211.5,7.18,20.21,0.564910889,-4.372665405,1.927581787,-3.009994507,4.033593988,45
32.18225479,-151.2854767,86.61554718,216.7002869,2024-01-11T06:16:42.490000,20.193,SABER_L2A_2024011_119844_02.08.nc,39,194,35.22299576,-154.3210754,214.5099945,215.8726654,25,2024-01-11T06:16:15.202646,19.983,awe_l3a_tmp_2024011T0614_00779_v01.nc,83,445.4646115,84.03,84.95,7.01,81.44,88.46,68,84.05,211.5,7.18,20.21,0.82762146,-4.372665405,2.190292358,-3.009994507,4.033593988,45
