angle_deg,uncorrected_slope_min_per_km,uncorrected_intercept_minutes,uncorrected_speed_km_per_min,uncorrected_speed_m_per_s,uncorrected_r_squared,uncorrected_number_of_fit_points,corrected_slope_min_per_km,corrected_intercept_minutes,corrected_speed_km_per_min,corrected_speed_m_per_s,corrected_r_squared,corrected_number_of_fit_points
7.500000000000000000e+01,1.674520963763991357e-02,4.885221020679189063e-01,5.971857155805312090e+01,9.953095259675519628e+02,7.979252594974255430e-01,2.510000000000000000e+02,1.674520963763991357e-02,4.885221020679189063e-01,5.971857155805312090e+01,9.953095259675519628e+02,7.979252594974255430e-01,2.510000000000000000e+02
8.000000000000000000e+01,1.719294251565167686e-02,4.325554923164482424e-01,5.816340042372882380e+01,9.693900070621471059e+02,7.621636242148871476e-01,2.510000000000000000e+02,1.719294251565167686e-02,4.325554923164482424e-01,5.816340042372882380e+01,9.693900070621471059e+02,7.621636242148871476e-01,2.510000000000000000e+02
8.500000000000000000e+01,1.517890343388351125e-02,2.380952380952380265e-01,6.588091190880912507e+01,1.098015198480152094e+03,7.601719241044113673e-01,2.510000000000000000e+02,1.517890343388351125e-02,2.380952380952380265e-01,6.588091190880912507e+01,1.098015198480152094e+03,7.601719241044113673e-01,2.510000000000000000e+02
9.000000000000000000e+01,1.286890533105672536e-02,1.523430089167144008e-01,7.770668710932892509e+01,1.295111451822148638e+03,6.313503348042766028e-01,2.510000000000000000e+02,1.286890533105672536e-02,1.523430089167144008e-01,7.770668710932892509e+01,1.295111451822148638e+03,6.313503348042766028e-01,2.510000000000000000e+02
9.500000000000000000e+01,9.226245127214219299e-03,3.267814723888863848e-01,1.083864547507357372e+02,1.806440912512262230e+03,5.377119252069800792e-01,2.450000000000000000e+02,9.226245127214219299e-03,3.267814723888863848e-01,1.083864547507357372e+02,1.806440912512262230e+03,5.377119252069800792e-01,2.450000000000000000e+02
1.000000000000000000e+02,8.901536710301648919e-03,3.534433693796245057e-01,1.123401534526854419e+02,1.872335890878090595e+03,5.314765458422174849e-01,2.510000000000000000e+02,8.901536710301648919e-03,3.534433693796245057e-01,1.123401534526854419e+02,1.872335890878090595e+03,5.314765458422174849e-01,2.510000000000000000e+02
1.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,nan,1.350000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,nan,1.350000000000000000e+02
1.100000000000000000e+02,6.708828932585040455e-03,2.011013588735799662e-01,1.490573109030939065e+02,2.484288515051564900e+03,2.304400032022975164e-01,2.050000000000000000e+02,6.708828932585040455e-03,2.011013588735799662e-01,1.490573109030939065e+02,2.484288515051564900e+03,2.304400032022975164e-01,2.050000000000000000e+02
1.150000000000000000e+02,-7.243889105218204172e-02,5.449508593576451787e+00,-1.380473921501145718e+01,-2.300789869168576161e+02,5.357077766723542522e-01,2.040000000000000000e+02,-7.243889105218204172e-02,5.449508593576451787e+00,-1.380473921501145718e+01,-2.300789869168576161e+02,5.357077766723542522e-01,2.040000000000000000e+02
1.200000000000000000e+02,-6.776725270790801003e-02,4.490204844402355455e+00,-1.475638984968482248e+01,-2.459398308280803747e+02,5.482623970936726376e-01,1.570000000000000000e+02,-6.776725270790801003e-02,4.490204844402355455e+00,-1.475638984968482248e+01,-2.459398308280803747e+02,5.482623970936726376e-01,1.570000000000000000e+02
