distance_km,best_shift_minutes,maximum_correlation
1.090000000000000000e+02,1.200000000000000000e+01,9.904319443656085520e-01
1.100000000000000000e+02,1.200000000000000000e+01,9.905142709277864332e-01
1.110000000000000000e+02,1.200000000000000000e+01,9.905808235001497541e-01
1.120000000000000000e+02,1.200000000000000000e+01,9.905605174924261291e-01
1.130000000000000000e+02,1.200000000000000000e+01,9.904423035020269994e-01
1.140000000000000000e+02,1.200000000000000000e+01,9.902850927043074236e-01
1.150000000000000000e+02,1.200000000000000000e+01,9.901724573569026244e-01
1.160000000000000000e+02,1.200000000000000000e+01,9.901541694562481233e-01
1.170000000000000000e+02,1.200000000000000000e+01,9.902189821259398395e-01
1.180000000000000000e+02,1.200000000000000000e+01,9.903113564114233158e-01
1.190000000000000000e+02,1.400000000000000000e+01,9.904031738535986618e-01
1.200000000000000000e+02,1.400000000000000000e+01,9.904124315128894906e-01
1.210000000000000000e+02,1.400000000000000000e+01,9.902896625735773117e-01
1.220000000000000000e+02,1.400000000000000000e+01,9.900523161921869209e-01
1.230000000000000000e+02,1.400000000000000000e+01,9.897514559404334555e-01
1.240000000000000000e+02,1.400000000000000000e+01,9.894528207274695397e-01
1.250000000000000000e+02,1.400000000000000000e+01,9.891982414838089710e-01
1.260000000000000000e+02,1.400000000000000000e+01,9.889845902232753394e-01
1.270000000000000000e+02,1.400000000000000000e+01,9.887877989330795536e-01
1.280000000000000000e+02,1.400000000000000000e+01,9.885935400664390693e-01
1.290000000000000000e+02,1.400000000000000000e+01,9.883904431386686396e-01
1.300000000000000000e+02,1.400000000000000000e+01,9.881536341124949052e-01
1.310000000000000000e+02,1.400000000000000000e+01,9.878641584527443342e-01
1.320000000000000000e+02,1.400000000000000000e+01,9.875468273466416758e-01
1.330000000000000000e+02,1.400000000000000000e+01,9.872730957031079502e-01
1.340000000000000000e+02,1.400000000000000000e+01,9.871151252575591784e-01
1.350000000000000000e+02,1.400000000000000000e+01,9.870914343850901718e-01
1.360000000000000000e+02,1.400000000000000000e+01,9.871487526732010132e-01
1.370000000000000000e+02,1.400000000000000000e+01,9.871946617674546287e-01
1.380000000000000000e+02,1.400000000000000000e+01,9.871583622479506159e-01
1.390000000000000000e+02,1.400000000000000000e+01,9.870318924022991602e-01
1.400000000000000000e+02,1.400000000000000000e+01,9.868604643397054232e-01
