angle_deg,uncorrected_slope_min_per_km,uncorrected_intercept_minutes,uncorrected_speed_km_per_min,uncorrected_speed_m_per_s,uncorrected_r_squared,uncorrected_number_of_fit_points,corrected_slope_min_per_km,corrected_intercept_minutes,corrected_speed_km_per_min,corrected_speed_m_per_s,corrected_r_squared,corrected_number_of_fit_points
8.000000000000000000e+01,2.124985771200910492e-02,-5.065452475810993532e-02,4.705913863295479160e+01,7.843189772159131508e+02,8.599416595380666717e-01,2.510000000000000000e+02,2.089926010244735205e-02,-6.260671599317010894e-02,4.784858387799564383e+01,7.974763979665941633e+02,8.563340017342293553e-01,2.510000000000000000e+02
8.500000000000000000e+01,2.138493644469740065e-02,-4.261051033959398771e-01,4.676188786373314343e+01,7.793647977288857192e+02,8.801525973018384796e-01,2.510000000000000000e+02,2.014494403339024686e-02,-3.985960918231830630e-01,4.964024711820990632e+01,8.273374519701650343e+02,8.789531193482160720e-01,2.510000000000000000e+02
9.000000000000000000e+01,1.966685638398785532e-02,-5.539745778789602060e-01,5.084696712455626511e+01,8.474494520759377565e+02,8.761934192777434127e-01,2.510000000000000000e+02,1.895048377916903198e-02,-5.600455321570857459e-01,5.276910139356080265e+01,8.794850232260134817e+02,8.591388562831683284e-01,2.510000000000000000e+02
9.500000000000000000e+01,1.581331815594764004e-02,-3.113261240751279413e-01,6.323783472502158531e+01,1.053963912083693231e+03,7.701024102154827577e-01,2.510000000000000000e+02,1.290381331815594786e-02,-1.309049516220830989e-01,7.749647141848976162e+01,1.291607856974829247e+03,7.017523809523810163e-01,2.510000000000000000e+02
1.000000000000000000e+02,1.207057484348320921e-02,-3.471826977803053188e-02,8.284609581290079916e+01,1.380768263548346567e+03,6.794303438496986924e-01,2.510000000000000000e+02,1.024018212862834280e-02,9.846328969834949874e-02,9.765451311694087622e+01,1.627575218615681251e+03,6.425714285714285712e-01,2.510000000000000000e+02
1.050000000000000000e+02,1.103699487763232928e-02,-1.206602162777458687e-01,9.060437293729371788e+01,1.510072882288228811e+03,6.855014874876041997e-01,2.510000000000000000e+02,1.145892619996205508e-02,-2.291785239992409628e-01,8.726821192052980791e+01,1.454470198675496704e+03,7.190476190476190466e-01,2.510000000000000000e+02
1.100000000000000000e+02,8.678429140580534717e-03,-2.959590210586224290e-01,1.152282266526757581e+02,1.920470444211262702e+03,4.138569150148097009e-01,2.510000000000000000e+02,5.885790172642761317e-03,-3.452855245683928986e-01,1.699007220216606697e+02,2.831678700361011124e+03,2.894068835454973732e-01,2.510000000000000000e+02
1.150000000000000000e+02,-4.780876494023902391e-04,-5.976095617529880027e-02,-2.091666666666667425e+03,-3.486111111111112405e+04,1.391752577319604889e-03,2.510000000000000000e+02,-4.704989565547333923e-04,1.897173211914246482e-02,-2.125403225806451701e+03,-3.542338709677419683e+04,1.488192024777401645e-02,2.510000000000000000e+02
1.200000000000000000e+02,-6.410927717700625784e-03,3.949914627205462492e-01,-1.559836647727272805e+02,-2.599727746212121474e+03,3.331872268907563051e-01,2.510000000000000000e+02,-2.229557958641623615e-03,1.512047049895654249e-01,-4.485194009530293329e+02,-7.475323349217155737e+03,1.093191995947316864e-01,2.510000000000000000e+02
1.250000000000000000e+02,-1.119939290457218697e-02,6.509201290077781810e-01,-8.929055427564711067e+01,-1.488175904594118492e+03,7.027619047619046988e-01,2.510000000000000000e+02,-1.115082527034718177e-02,6.528173022196923636e-01,-8.967946100449164248e+01,-1.494657683408194089e+03,6.997142857142857331e-01,2.510000000000000000e+02
1.300000000000000000e+02,-1.193701384936444662e-02,5.279833048757349712e-01,-8.377304513668150321e+01,-1.396217418944691644e+03,7.490476190476191842e-01,2.510000000000000000e+02,-1.180648833238474513e-02,5.674445076835511470e-01,-8.469919012726572305e+01,-1.411653168787762070e+03,7.380109763459743455e-01,2.510000000000000000e+02
1.350000000000000000e+02,-1.618971732119142345e-02,5.018023145513179628e-01,-6.176760101246836854e+01,-1.029460016874472785e+03,6.982831429369222853e-01,2.510000000000000000e+02,-1.331512047049895724e-02,3.018402580155563064e-01,-7.510258748432690368e+01,-1.251709791405448186e+03,6.180480928290372766e-01,2.510000000000000000e+02
1.400000000000000000e+02,-1.877442610510339505e-02,3.468032631379242559e-01,-5.326394502829426614e+01,-8.877324171382376790e+02,8.063876768060035394e-01,2.510000000000000000e+02,-1.752988047808765396e-02,2.788844621513942301e-01,-5.704545454545453254e+01,-9.507575757575755233e+02,8.001637485829449226e-01,2.510000000000000000e+02
1.450000000000000000e+02,-1.903244166192373174e-02,2.117245304496297720e-01,-5.254186602870814227e+01,-8.756977671451356855e+02,8.448799987105301001e-01,2.510000000000000000e+02,-1.794725858470878552e-02,1.238854107380001762e-01,-5.571881606765327177e+01,-9.286469344608879055e+02,8.414762025118400768e-01,2.510000000000000000e+02
1.500000000000000000e+02,-1.985202048947068768e-02,3.141718838929993818e-01,-5.037270642201835358e+01,-8.395451070336391695e+02,8.472308057998573227e-01,2.510000000000000000e+02,-1.837677859988616838e-02,1.935116676152530690e-01,-5.441650148662041886e+01,-9.069416914436736761e+02,8.536472067917408868e-01,2.510000000000000000e+02
1.550000000000000000e+02,-2.231075697211154854e-02,4.143426294820715117e-01,-4.482142857142858361e+01,-7.470238095238097458e+02,8.806915439917836208e-01,2.510000000000000000e+02,-2.230620375640296124e-02,3.898690950483774120e-01,-4.483057766891202078e+01,-7.471762944818669894e+02,8.810862111162779398e-01,2.510000000000000000e+02
1.600000000000000000e+02,-2.216808954657560268e-02,2.690191614494397143e-01,-4.510988634807613096e+01,-7.518314391346021921e+02,8.742154607723214843e-01,2.510000000000000000e+02,-2.275241889584519311e-02,2.145702902675010459e-01,-4.395137082249349447e+01,-7.325228470415582933e+02,8.695049708365979457e-01,2.510000000000000000e+02
1.650000000000000000e+02,-2.407133371276797343e-02,2.280402200720919870e-01,-4.154319041614124330e+01,-6.923865069356874073e+02,8.687004525855741566e-01,2.510000000000000000e+02,-2.592145702902674820e-02,3.318155947638012360e-01,-3.857807834182329287e+01,-6.429679723637215147e+02,8.990069392113986257e-01,2.510000000000000000e+02
1.700000000000000000e+02,-2.545399354961108002e-02,2.494782773667232056e-01,-3.928656609623755003e+01,-6.547761016039590913e+02,8.950873824719516314e-01,2.510000000000000000e+02,-2.602921646746347850e-02,2.735723771580342856e-01,-3.841836734693877986e+01,-6.403061224489796359e+02,9.046527149808379908e-01,2.510000000000000000e+02
1.750000000000000000e+02,-2.656953139821665796e-02,3.490798709922210974e-01,-3.763709585285045023e+01,-6.272849308808407613e+02,9.203086994777730512e-01,2.510000000000000000e+02,-2.668487952950104533e-02,3.236577499525697954e-01,-3.747440564213399483e+01,-6.245734273688998428e+02,9.208833400360456611e-01,2.510000000000000000e+02
