slice,cluster_in_slice,global_cluster_index,status,point_source,selection_method,selected_y,selected_x,raw_peak_y,raw_peak_x,selected_global_x,latitude,longitude,amplitude_K,target_wavelength_km,target_dominant_angle_deg,target_bearing_deg,target_true_angle_deg,temperature_K,u_navgem_m_per_s,v_navgem_m_per_s,NN_or_N2_navgem,intrinsic_speed_c_minus_w_m_per_s,m2_1_per_m2,lambda_z_km,New_MF_m2_s2,New_MF_u_m2_s2,New_MF_v_m2_s2,MF_m2_s2,MFz_m2_s2,MFm_m2_s2,finite_pixels,phase_speed_m_per_s,phase_speed_error_m_per_s,phase_direction,phase_avg_wavelength_km,phase_avg_wavelength_error_km,phase_avg_angle_deg,phase_avg_angle_error_deg,phase_closest_frame,phase_closest_distance_km,phase_fit_sse,excluded_from_mf_sums_sse_gt_threshold,phase_summary_csv,phase_output_dir,plot_path,file,orbit_tag,orbit_id,version
3,7,10,ok,saved representative point,0,178,410,178,410,2210,50.11262130737305,-86.58789825439453,2.4763290882110596,26.17218589782715,120.00000333930423,340.19366455078125,100.19366455078125,187.67999267578125,-6.272094249725342,-30.5035400390625,0.00046081654727458954,62.809687979593875,1.168085932541004e-07,18.384104141235635,12.025387319932207,-2.128204582114363,11.835568657696754,7.5357184410095215,0.2360224425792694,7.299696445465088,3412,-33.89765101450362,4.684021072215975,-1,29.287570476531133,4.046994206394603,97.64882698968341,7.195869148031283,513,55.34232878530489,0.03014079305490578,False,AWE\01770\remap85_from_l7a\slice_003\cluster_007_global_00010\awe_radiance_pre_interpolation_frames\overlays_crests_phase\ROI_22_100x100\phase_speed_from_l7a_point_summary.csv,AWE\01770\remap85_from_l7a\slice_003\cluster_007_global_00010,plots_l7a_cluster_debug\01770\slice_003\awe_l7a_tmp_2024075T0538_01770_v23_slice_003_cluster_007_global_00010_info.png,l7\2024\03_v23\awe_l7a_tmp_2024075T0538_01770_v23.nc,2024075T0538_01770,01770,v23
3,8,11,ok,saved representative point,0,160,344,160,344,2144,50.15999221801758,-88.49527740478516,2.322359085083008,80.72605895996094,120.00000333930423,341.65533447265625,101.65533447265625,179.10000610351562,-4.004088878631592,-27.79904556274414,0.0005098081892356277,41.74438880468609,2.925570673420504e-07,11.616480598534759,2.150628794182501,-0.43447847550436425,2.106284089264855,2.3595962524414062,0.0963037833571434,2.2632925510406494,115332,-15.327465025247557,2.556154032262766,-1,72.8361137999764,12.146843961312667,101.30154768920931,8.39448200780432,495,19.80815469153256,0.020561347572354248,False,AWE\01770\remap85_from_l7a\slice_003\cluster_008_global_00011\awe_radiance_pre_interpolation_frames\overlays_crests_phase\ROI_22_150x150\phase_speed_from_l7a_point_summary.csv,AWE\01770\remap85_from_l7a\slice_003\cluster_008_global_00011,plots_l7a_cluster_debug\01770\slice_003\awe_l7a_tmp_2024075T0538_01770_v23_slice_003_cluster_008_global_00011_info.png,l7\2024\03_v23\awe_l7a_tmp_2024075T0538_01770_v23.nc,2024075T0538_01770,01770,v23
3,9,12,ok,saved representative point,1,82,464,32,520,2264,48.201969146728516,-86.09721374511719,1.3183530569076538,33.941123962402344,130.00000134084985,339.8131408691406,109.81314849853516,177.82000732421875,1.5171462297439575,-29.27526092529297,0.0004166021244600415,71.35577837639673,8.18206988127484e-08,21.965863281282925,3.869427292284874,-1.3115567970601494,3.640368983820785,1.8346781730651855,0.21078556776046753,1.6238926649093628,9944,-43.29928135113633,8.155190781199549,-1,32.14971640321873,6.055229155040666,102.45444819404663,10.103818203963103,526,134.25385559968473,0.02529132560272256,False,AWE\01770\remap85_from_l7a\slice_003\cluster_009_global_00012\awe_radiance_pre_interpolation_frames\overlays_crests_phase\ROI_22_100x100\phase_speed_from_l7a_point_summary.csv,AWE\01770\remap85_from_l7a\slice_003\cluster_009_global_00012,plots_l7a_cluster_debug\01770\slice_003\awe_l7a_tmp_2024075T0538_01770_v23_slice_003_cluster_009_global_00012_info.png,l7\2024\03_v23\awe_l7a_tmp_2024075T0538_01770_v23.nc,2024075T0538_01770,01770,v23
3,10,13,ok,saved representative point,0,174,384,174,384,2184,50.1832275390625,-87.31253051757812,2.1832079887390137,135.76449584960938,109.99999850756943,340.73907470703125,90.73907470703125,173.89999389648438,-5.742199897766113,-29.687761306762695,0.0004816149303223938,57.22773546986003,1.470573785055541e-07,16.384623205940258,1.7897208459871632,-0.023085436110348488,1.7895719513896617,1.3151909112930298,0.00021882611326873302,1.3149720430374146,119672,-27.616512097183733,5.0630524282935205,-1,131.2336654858171,24.059625139250812,95.64316477213214,10.750765057701095,506,47.35727901883201,0.001191163555548823,False,AWE\01770\remap85_from_l7a\slice_003\cluster_010_global_00013\awe_radiance_pre_interpolation_frames\overlays_crests_phase\ROI_22_150x150\phase_speed_from_l7a_point_summary.csv,AWE\01770\remap85_from_l7a\slice_003\cluster_010_global_00013,plots_l7a_cluster_debug\01770\slice_003\awe_l7a_tmp_2024075T0538_01770_v23_slice_003_cluster_010_global_00013_info.png,l7\2024\03_v23\awe_l7a_tmp_2024075T0538_01770_v23.nc,2024075T0538_01770,01770,v23
3,11,14,ok,saved representative point,1,92,472,46,552,2272,48.318843841552734,-85.80357360839844,1.4780454635620117,26.17218589782715,100.0000005060238,339.5855407714844,79.58554077148438,188.39999389648438,1.0594813823699951,-29.97083282470703,0.0004097787314094603,60.876127201837406,1.1057460126391727e-07,18.895229769073662,4.913834049682781,0.8882607400215857,4.832882982812452,2.664144277572632,0.0870557650923729,2.5770883560180664,8548,-31.590556959230142,5.506609231446516,-1,26.221541776464914,4.570726125385825,83.17380950019508,7.628773522682302,529,114.48949527750149,0.0378708288458238,False,AWE\01770\remap85_from_l7a\slice_003\cluster_011_global_00014\awe_radiance_pre_interpolation_frames\overlays_crests_phase\ROI_22_100x100\phase_speed_from_l7a_point_summary.csv,AWE\01770\remap85_from_l7a\slice_003\cluster_011_global_00014,plots_l7a_cluster_debug\01770\slice_003\awe_l7a_tmp_2024075T0538_01770_v23_slice_003_cluster_011_global_00014_info.png,l7\2024\03_v23\awe_l7a_tmp_2024075T0538_01770_v23.nc,2024075T0538_01770,01770,v23
3,12,15,ok,saved representative point,0,76,262,76,262,2062,49.135684967041016,-91.34880065917969,1.9449002742767334,104.6887435913086,130.00000134084985,343.8447570800781,113.84475708007812,182.67999267578125,-1.5273549556732178,-22.238502502441406,0.0005500890547409654,259.4554904015775,8.171603261389672e-09,69.50662990088924,6.19940266319028,-2.506170043275169,5.670247357440491,1.2265821695327759,0.20045554637908936,1.0261266231536865,28980,-239.73262265844164,42.94764350193147,-1,91.87172765104154,16.458645316224064,107.93578928738184,9.289598728636633,474,146.06358092579976,32.79725668292922,True,AWE\01770\remap85_from_l7a\slice_003\cluster_012_global_00015\awe_radiance_pre_interpolation_frames\overlays_crests_phase\ROI_22_150x150\phase_speed_from_l7a_point_summary.csv,AWE\01770\remap85_from_l7a\slice_003\cluster_012_global_00015,plots_l7a_cluster_debug\01770\slice_003\awe_l7a_tmp_2024075T0538_01770_v23_slice_003_cluster_012_global_00015_info.png,l7\2024\03_v23\awe_l7a_tmp_2024075T0538_01770_v23.nc,2024075T0538_01770,01770,v23
3,13,16,ok,saved representative point,1,75,354,74,354,2154,48.69003677368164,-88.95807647705078,1.9235310554504395,44.01619338989258,120.00000333930423,342.0047912597656,102.00480651855469,175.3699951171875,2.399566411972046,-20.594865798950195,0.0004927777335979044,86.67843840260363,6.558868426055701e-08,24.53383323728803,6.166426766225568,-1.2825769506793405,6.031568239588208,3.0964157581329346,0.1339552402496338,2.962460517883301,28448,-66.03488390190422,10.71416450241057,-1,38.98108923004334,6.324684436702488,102.30174202404359,9.469926248547807,496,146.6509624500743,0.1878376704176031,False,AWE\01770\remap85_from_l7a\slice_003\cluster_013_global_00016\awe_radiance_pre_interpolation_frames\overlays_crests_phase\ROI_22_100x100\phase_speed_from_l7a_point_summary.csv,AWE\01770\remap85_from_l7a\slice_003\cluster_013_global_00016,plots_l7a_cluster_debug\01770\slice_003\awe_l7a_tmp_2024075T0538_01770_v23_slice_003_cluster_013_global_00016_info.png,l7\2024\03_v23\awe_l7a_tmp_2024075T0538_01770_v23.nc,2024075T0538_01770,01770,v23
3,14,17,ok,saved representative point,0,116,576,116,576,2376,48.08804702758789,-82.96155548095703,1.8917220830917358,33.941123962402344,100.0000005060238,337.43212890625,77.43211364746094,189.2899932861328,1.3572521209716797,-40.345680236816406,0.0003653298772405833,83.45334006594354,5.245631088565179e-08,27.43348592109505,10.01319887623698,2.1788315030858754,9.773271970851628,3.333627223968506,0.15784093737602234,3.175786256790161,7500,-44.36971784274351,8.433743382545204,-1,32.56291879362428,6.18952101217835,83.53872577926292,7.0850331372249,555,65.41446566575291,0.006642552750402595,False,AWE\01770\remap85_from_l7a\slice_003\cluster_014_global_00017\awe_radiance_pre_interpolation_frames\overlays_crests_phase\ROI_22_100x100\phase_speed_from_l7a_point_summary.csv,AWE\01770\remap85_from_l7a\slice_003\cluster_014_global_00017,plots_l7a_cluster_debug\01770\slice_003\awe_l7a_tmp_2024075T0538_01770_v23_slice_003_cluster_014_global_00017_info.png,l7\2024\03_v23\awe_l7a_tmp_2024075T0538_01770_v23.nc,2024075T0538_01770,01770,v23
4,0,48,ok,saved representative point,0,106,80,106,80,2480,47.20669937133789,-80.5436782836914,4.183651447296143,26.17218589782715,109.99999850756943,335.6185607910156,85.61856079101562,195.64999389648438,3.8294482231140137,-45.64039611816406,0.00040008241194300354,81.90898502679423,5.963296054404173e-08,25.729816143649725,50.91461222630735,3.889675664385649,50.76581685919307,19.792253494262695,0.11551465839147568,19.676738739013672,87228,-36.69452539540378,6.8204462295891375,-1,25.180127751474192,4.680254221372937,84.8867964903378,10.175843461215088,583,86.84826574724852,0.017940215188983553,False,AWE\01770\remap85_from_l7a\slice_004\cluster_000_global_00048\awe_radiance_pre_interpolation_frames\overlays_crests_phase\ROI_22_100x100\phase_speed_from_l7a_point_summary.csv,AWE\01770\remap85_from_l7a\slice_004\cluster_000_global_00048,plots_l7a_cluster_debug\01770\slice_004\awe_l7a_tmp_2024075T0538_01770_v23_slice_004_cluster_000_global_00048_info.png,l7\2024\03_v23\awe_l7a_tmp_2024075T0538_01770_v23.nc,2024075T0538_01770,01770,v23
4,1,49,ok,saved representative point,1,126,0,22,0,2400,48.086307525634766,-82.27046203613281,2.8587698936462402,28.540969848632812,109.99999850756943,336.9183654785156,86.91836547851562,193.7100067138672,0.47009605169296265,-42.79202651977539,0.0003710493620019406,72.17316374911377,7.123283065172411e-08,23.54180548525646,21.940046284412794,1.1794698406998139,21.908319923194824,8.645089149475098,0.024984296411275864,8.620104789733887,10968,-29.468288340189844,5.543482259313128,-1,28.578225753588193,5.376046468623671,85.93879951508896,9.499810992143866,562,47.39150258808004,0.006236635815022159,False,AWE\01770\remap85_from_l7a\slice_004\cluster_001_global_00049\awe_radiance_pre_interpolation_frames\overlays_crests_phase\ROI_22_100x100\phase_speed_from_l7a_point_summary.csv,AWE\01770\remap85_from_l7a\slice_004\cluster_001_global_00049,plots_l7a_cluster_debug\01770\slice_004\awe_l7a_tmp_2024075T0538_01770_v23_slice_004_cluster_001_global_00049_info.png,l7\2024\03_v23\awe_l7a_tmp_2024075T0538_01770_v23.nc,2024075T0538_01770,01770,v23
4,2,50,ok,saved representative point,1,75,104,30,0,2504,46.54644012451172,-80.30113983154297,1.8012083768844604,37.0130615234375,120.00000333930423,335.43841552734375,95.43840789794922,196.66000366210938,8.32895278930664,-44.055641174316406,0.0004029249248560518,93.64542720095284,4.594634647287673e-08,29.31260236932023,7.471623260719265,-0.7081294601240377,7.437990778283179,2.56758451461792,0.02306312508881092,2.5445213317871094,23188,-48.99871282741581,6.600695510768327,-1,30.33770467177589,4.086841051097211,90.85916793070619,8.53577701536156,587,146.87115150591907,0.030999324122294437,False,AWE\01770\remap85_from_l7a\slice_004\cluster_002_global_00050\awe_radiance_pre_interpolation_frames\overlays_crests_phase\ROI_22_100x100\phase_speed_from_l7a_point_summary.csv,AWE\01770\remap85_from_l7a\slice_004\cluster_002_global_00050,plots_l7a_cluster_debug\01770\slice_004\awe_l7a_tmp_2024075T0538_01770_v23_slice_004_cluster_002_global_00050_info.png,l7\2024\03_v23\awe_l7a_tmp_2024075T0538_01770_v23.nc,2024075T0538_01770,01770,v23
4,3,51,ok,saved representative point,1,146,52,36,0,2452,48.05760192871094,-80.7813491821289,1.866944432258606,44.01619338989258,109.99999850756943,335.8018798828125,85.80188751220703,197.63999938964844,-1.5841302871704102,-47.34090805053711,0.00039558595744892955,96.7879951471975,4.222774384976272e-08,30.576018262775378,7.100428823809313,0.5197904496026154,7.081377505152795,2.296595573425293,0.012307494878768921,2.284288167953491,47536,-49.458141489642856,8.901620670289931,-1,44.55451912014842,8.019052402884885,82.38604264461956,9.45548518605805,576,8.811573381100057,0.6659609064324687,True,AWE\01770\remap85_from_l7a\slice_004\cluster_003_global_00051\awe_radiance_pre_interpolation_frames\overlays_crests_phase\ROI_22_100x100\phase_speed_from_l7a_point_summary.csv,AWE\01770\remap85_from_l7a\slice_004\cluster_003_global_00051,plots_l7a_cluster_debug\01770\slice_004\awe_l7a_tmp_2024075T0538_01770_v23_slice_004_cluster_003_global_00051_info.png,l7\2024\03_v23\awe_l7a_tmp_2024075T0538_01770_v23.nc,2024075T0538_01770,01770,v23
