saber_lat,saber_lon,saber_alt,saber_temp,saber_time,saber_local_time_pm12,saber_file,saber_i,saber_j,awe_lat,awe_lon,awe_time_nearest,awe_local_time_nearest_pm12,awe_file_nearest,awe_x_nearest,awe_temp_nearest,awe_MLCloud_nearest,distance_km_nearest,awe_temp_avg,awe_temp_std,awe_count_used,awe_temp_avg_unfiltered,awe_temp_std_unfiltered,awe_count_unfiltered,peak_altitude_km,saber_profile_mean_local_time_h,m4_T_K_shift_m0p75,m4_T_std_K_shift_m0p75,m4_z_eff_km_shift_m0p75,delta_temp_m4_unfiltered_K_shift_m0p75,year,awe_ratio_used_over_unfiltered,awe_orbit
42.03263855,-113.4325562,86.88237,204.4185333,2024-01-13T03:19:56.823000,-4.23,SABER_L2A_2024013_119872_02.08.nc,36,192,41.1983757,-110.2811432,2024-01-13T03:11:12.245623,-4.165,awe_l3a_tmp_2024013T0309_00808_v01.nc,49,195.8200073,21,281.6940895,198.8817376,2.475132237,1013,198.8817376,2.475132237,1013,87.24,19.77,199.54,11.04,86.39,0.658262379,2024,1,808
42.03561401,-113.4216919,86.51423645,204.9973602,2024-01-13T03:19:56.777000,-4.229,SABER_L2A_2024013_119872_02.08.nc,36,193,41.1983757,-110.2811432,2024-01-13T03:11:12.245623,-4.165,awe_l3a_tmp_2024013T0309_00808_v01.nc,49,195.8200073,21,280.9381135,198.8869165,2.480647936,1015,198.8869165,2.480647936,1015,87.24,19.77,199.54,11.04,86.39,0.653083532,2024,1,808
38.05317307,-113.5239563,87.42358398,191.3672791,2024-01-13T03:21:06.070000,-4.217,SABER_L2A_2024013_119872_02.08.nc,37,191,41.1983757,-110.2811432,2024-01-13T03:11:12.245623,-4.165,awe_l3a_tmp_2024013T0309_00808_v01.nc,49,195.8200073,21,452.6159346,196.2075862,1.859340196,261,196.2075862,1.859340196,261,87.96,19.78,196.12,11.43,87.18,-0.087586237,2024,1,808
38.05091095,-113.5137939,87.05455017,192.4727631,2024-01-13T03:21:06.118000,-4.216,SABER_L2A_2024013_119872_02.08.nc,37,192,41.1983757,-110.2811432,2024-01-13T03:11:12.245623,-4.165,awe_l3a_tmp_2024013T0309_00808_v01.nc,49,195.8200073,21,452.2709774,196.214313,1.858967689,262,196.214313,1.858967689,262,87.96,19.78,196.12,11.43,87.18,-0.094313012,2024,1,808
38.04843521,-113.5036316,86.68533325,193.2793732,2024-01-13T03:21:06.170000,-4.215,SABER_L2A_2024013_119872_02.08.nc,37,193,41.1983757,-110.2811432,2024-01-13T03:11:12.245623,-4.165,awe_l3a_tmp_2024013T0309_00808_v01.nc,49,195.8200073,21,451.9467595,196.223346,1.861182174,263,196.223346,1.861182174,263,87.96,19.78,196.12,11.43,87.18,-0.103346028,2024,1,808
32.03051376,-61.93377686,87.21186066,189.315094,2024-01-08T00:57:41.639000,-3.167,SABER_L2A_2024008_119796_02.08.nc,39,191,30.01236343,-59.55489731,2024-01-08T00:52:47.888153,-3.09,awe_l3a_tmp_2024008T0047_00729_v01.nc,233,197.4799957,19,323.3110839,198.8603293,4.027685911,3492,198.8603293,4.027685911,3492,87.39,20.83,196.44,7.61,87.53,-2.420329321,2024,1,729
32.02881622,-61.92425537,86.84371185,191.7556,2024-01-08T00:57:41.683000,-3.167,SABER_L2A_2024008_119796_02.08.nc,39,192,30.01236343,-59.55489731,2024-01-08T00:52:47.888153,-3.09,awe_l3a_tmp_2024008T0047_00729_v01.nc,233,197.4799957,19,322.5248909,198.8549171,4.027487001,3500,198.8549171,4.027487001,3500,87.39,20.83,196.44,7.61,87.53,-2.41491714,2024,1,729
28.60851669,-61.78866577,87.29984283,194.013092,2024-01-08T00:58:41.430000,-3.141,SABER_L2A_2024008_119796_02.08.nc,40,191,28.31234169,-61.4876709,2024-01-08T00:52:13.128565,-3.229,awe_l3a_tmp_2024008T0047_00729_v01.nc,206,200.7299957,18,44.7661228,199.1094007,3.914260779,5540,199.1094007,3.914260779,5540,86.93,20.86,195.49,6.98,86.61,-3.619400725,2024,1,729
28.61202812,-61.77975464,86.93302155,194.6844025,2024-01-08T00:58:41.385000,-3.14,SABER_L2A_2024008_119796_02.08.nc,40,192,28.31234169,-61.4876709,2024-01-08T00:52:13.128565,-3.229,awe_l3a_tmp_2024008T0047_00729_v01.nc,206,200.7299957,18,44.48219285,199.1129939,3.914002793,5538,199.1129939,3.914002793,5538,86.93,20.86,195.49,6.98,86.61,-3.622993865,2024,1,729
28.61563301,-61.77087402,86.56611633,196.1155701,2024-01-08T00:58:41.339000,-3.14,SABER_L2A_2024008_119796_02.08.nc,40,193,28.31234169,-61.4876709,2024-01-08T00:52:13.128565,-3.229,awe_l3a_tmp_2024008T0047_00729_v01.nc,206,200.7299957,18,44.22771083,199.1136992,3.913520638,5539,199.1136992,3.913520638,5539,86.93,20.86,195.49,6.98,86.61,-3.623699226,2024,1,729
24.56555557,-61.51495361,87.45633698,198.0129242,2024-01-08T00:59:52.244000,-3.103,SABER_L2A_2024008_119796_02.08.nc,41,190,26.39207649,-63.56290054,2024-01-08T00:51:34.506800,-3.378,awe_l3a_tmp_2024008T0047_00729_v01.nc,176,199.3500061,15,292.9156578,197.2631279,3.383611602,4444,197.2631279,3.383611602,4444,87.08,20.9,198.17,7.53,87.24,0.906872113,2024,1,729
24.56405449,-61.50601196,87.08877563,196.061554,2024-01-08T00:59:52.289000,-3.103,SABER_L2A_2024008_119796_02.08.nc,41,191,26.39207649,-63.56290054,2024-01-08T00:51:34.506800,-3.378,awe_l3a_tmp_2024008T0047_00729_v01.nc,176,199.3500061,15,293.683081,197.2614634,3.378705132,4442,197.2614634,3.378705132,4442,87.08,20.9,198.17,7.53,87.24,0.908536623,2024,1,729
24.56252861,-61.49707031,86.72109985,194.1268768,2024-01-08T00:59:52.335000,-3.102,SABER_L2A_2024008_119796_02.08.nc,41,192,26.39207649,-63.56290054,2024-01-08T00:51:34.506800,-3.378,awe_l3a_tmp_2024008T0047_00729_v01.nc,176,199.3500061,15,294.4534001,197.2583266,3.379070566,4440,197.2583266,3.379070566,4440,87.08,20.9,198.17,7.53,87.24,0.911673351,2024,1,729
22.1482029,-61.30563354,87.42739105,193.1514435,2024-01-08T01:00:34.696000,-3.077,SABER_L2A_2024008_119796_02.08.nc,42,191,25.22553444,-64.77442169,2024-01-08T00:51:11.333742,-3.465,awe_l3a_tmp_2024008T0047_00729_v01.nc,158,194.6300049,15,498.4451026,196.2433164,2.861295015,2147,196.2433164,2.861295015,2147,87.79,20.92,196.65,6.75,87.3,0.406683591,2024,1,729
22.15199661,-61.29736328,87.06095123,193.7237549,2024-01-08T01:00:34.651000,-3.077,SABER_L2A_2024008_119796_02.08.nc,42,192,25.22553444,-64.77442169,2024-01-08T00:51:11.333742,-3.465,awe_l3a_tmp_2024008T0047_00729_v01.nc,158,194.6300049,15,498.757613,196.2552773,2.874806967,2147,196.2552773,2.874806967,2147,87.79,20.92,196.65,6.75,87.3,0.394722712,2024,1,729
22.15590668,-61.2890625,86.69417572,194.8210907,2024-01-08T01:00:34.604000,-3.076,SABER_L2A_2024008_119796_02.08.nc,42,193,25.22553444,-64.77442169,2024-01-08T00:51:11.333742,-3.465,awe_l3a_tmp_2024008T0047_00729_v01.nc,158,194.6300049,15,499.0647842,196.2553633,2.874986304,2148,196.2553633,2.874986304,2148,87.79,20.92,196.65,6.75,87.3,0.394636713,2024,1,729
32.03292847,-86.2883606,87.18838501,196.968338,2024-01-08T02:34:20.468000,-3.18,SABER_L2A_2024008_119797_02.08.nc,39,192,29.70936394,-83.51239014,2024-01-08T02:25:30.546824,-3.142,awe_l3a_tmp_2024008T0220_00730_v01.nc,221,200.9600067,22,375.0868608,203.7060135,4.00356118,2955,203.7060135,4.00356118,2955,88.84,20.82,192.73,11.43,89.04,-10.97601346,2024,1,730
32.03105545,-86.27883911,86.82000732,192.2355499,2024-01-08T02:34:20.513000,-3.18,SABER_L2A_2024008_119797_02.08.nc,39,193,29.70936394,-83.51239014,2024-01-08T02:25:30.546824,-3.142,awe_l3a_tmp_2024008T0220_00730_v01.nc,221,200.9600067,22,374.2824088,203.7052481,4.000583162,2961,203.7052481,4.000583162,2961,88.84,20.82,192.73,11.43,89.04,-10.97524815,2024,1,730
28.56928062,-86.14096069,87.24682617,218.4033203,2024-01-08T02:35:20.978000,-3.154,SABER_L2A_2024008_119797_02.08.nc,40,191,29.27007484,-84.01673126,2024-01-08T02:25:21.549124,-3.178,awe_l3a_tmp_2024008T0220_00730_v01.nc,214,201.4299927,23,223.9584561,204.483682,4.211748685,1529,204.483682,4.211748685,1529,88.53,20.85,203.88,19.07,88.39,-0.603682037,2024,1,730
28.57266808,-86.13204956,86.87965393,216.4560547,2024-01-08T02:35:20.934000,-3.153,SABER_L2A_2024008_119797_02.08.nc,40,192,29.27007484,-84.01673126,2024-01-08T02:25:21.549124,-3.178,awe_l3a_tmp_2024008T0220_00730_v01.nc,214,201.4299927,23,222.9980163,204.4864341,4.210714183,1534,204.4864341,4.210714183,1534,88.53,20.85,203.88,19.07,88.39,-0.606434061,2024,1,730
28.57608795,-86.12313843,86.51239014,213.6721191,2024-01-08T02:35:20.890000,-3.152,SABER_L2A_2024008_119797_02.08.nc,40,193,29.27007484,-84.01673126,2024-01-08T02:25:21.549124,-3.178,awe_l3a_tmp_2024008T0220_00730_v01.nc,214,201.4299927,23,222.0362944,204.4951428,4.209938517,1540,204.4951428,4.209938517,1540,88.53,20.85,203.88,19.07,88.39,-0.615142761,2024,1,730
30.57129669,35.56077576,87.39434052,161.0770264,2024-01-07T18:31:31.970000,-3.104,SABER_L2A_2024007_119792_02.08.nc,40,191,30.1709404,35.08661652,2024-01-07T18:41:31.487819,-2.969,awe_l3a_tmp_2024007T1835_00725_v01.nc,256,187.0099945,15,64.51675253,190.4784621,4.371792481,2445,190.4784621,4.371792481,2445,87.75,20.9,185.1,14.9,86.91,-5.378462116,2024,1,725
30.57455444,35.56992722,87.02661896,163.8920135,2024-01-07T18:31:31.927000,-3.103,SABER_L2A_2024007_119792_02.08.nc,40,192,30.1709404,35.08661652,2024-01-07T18:41:31.487819,-2.969,awe_l3a_tmp_2024007T1835_00725_v01.nc,256,187.0099945,15,65.4100354,190.4669631,4.368220565,2440,190.4669631,4.368220565,2440,87.75,20.9,185.1,14.9,86.91,-5.366963064,2024,1,725
