shift_minutes,correlation
-6.200000000000000000e+01,-1.323831756723965192e-01
-6.000000000000000000e+01,-1.119311620860153345e-01
-5.800000000000000000e+01,-8.713669831802937915e-02
-5.600000000000000000e+01,-6.248197152955929645e-02
-5.400000000000000000e+01,-3.977669846673340809e-02
-5.200000000000000000e+01,-1.784633103880499741e-02
-5.000000000000000000e+01,5.427244508911330083e-03
-4.800000000000000000e+01,3.164627695056632800e-02
-4.600000000000000000e+01,6.156484386827566768e-02
-4.400000000000000000e+01,9.526172088926392056e-02
-4.200000000000000000e+01,1.323933131712203282e-01
-4.000000000000000000e+01,1.725751866380041133e-01
-3.800000000000000000e+01,2.156871329280236893e-01
-3.600000000000000000e+01,2.614542343216059161e-01
-3.400000000000000000e+01,3.084353682201609326e-01
-3.200000000000000000e+01,3.534272979205643206e-01
-3.000000000000000000e+01,3.920361951603880124e-01
-2.800000000000000000e+01,4.203654521567317670e-01
-2.600000000000000000e+01,4.370500258066613575e-01
-2.400000000000000000e+01,4.445414604051315943e-01
-2.200000000000000000e+01,4.488058375486031482e-01
-2.000000000000000000e+01,4.574661899062886228e-01
-1.800000000000000000e+01,4.772239426506349469e-01
-1.600000000000000000e+01,5.116970407311737246e-01
-1.400000000000000000e+01,5.611474638932245629e-01
-1.200000000000000000e+01,6.241262264900575563e-01
-1.000000000000000000e+01,6.985771439343717581e-01
-8.000000000000000000e+00,7.807326080527321466e-01
-6.000000000000000000e+00,8.630875223534825169e-01
-4.000000000000000000e+00,9.344888746371428079e-01
-2.000000000000000000e+00,9.829998656420924075e-01
0.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,9.829998656420924075e-01
4.000000000000000000e+00,9.344888746371428079e-01
6.000000000000000000e+00,8.630875223534825169e-01
8.000000000000000000e+00,7.807326080527321466e-01
1.000000000000000000e+01,6.985771439343717581e-01
1.200000000000000000e+01,6.241262264900575563e-01
1.400000000000000000e+01,5.611474638932245629e-01
1.600000000000000000e+01,5.116970407311737246e-01
1.800000000000000000e+01,4.772239426506349469e-01
2.000000000000000000e+01,4.574661899062886228e-01
2.200000000000000000e+01,4.488058375486031482e-01
2.400000000000000000e+01,4.445414604051315943e-01
2.600000000000000000e+01,4.370500258066613575e-01
2.800000000000000000e+01,4.203654521567317670e-01
3.000000000000000000e+01,3.920361951603880124e-01
3.200000000000000000e+01,3.534272979205643206e-01
3.400000000000000000e+01,3.084353682201609326e-01
3.600000000000000000e+01,2.614542343216059161e-01
3.800000000000000000e+01,2.156871329280236893e-01
4.000000000000000000e+01,1.725751866380041133e-01
4.200000000000000000e+01,1.323933131712203282e-01
4.400000000000000000e+01,9.526172088926392056e-02
