file,pt1,pt2,pt3,pt4,pt5,pt6,pt7,pt8,pt9,pt10
awe_100km_box_frame_0064,0.8978846883210956,-0.1220289259464361,-0.7837338885217383,-0.9472799675118491,0.16500355791195132,-0.17203124393319646,-0.9204974792429477,-0.7002053437710039,0.5002297484421268,0.9100978206292167
awe_100km_box_frame_0065,0.8570977312737649,-0.1540222224935377,-0.8572191961009108,-0.8051455436746537,0.14176028350138936,-0.0791412284549392,-0.9754571358817543,-0.4949738405247255,0.5143893551462104,0.9901944486410372
awe_100km_box_frame_0066,0.9764504865038584,0.026163797605991634,-0.8107218332408295,-0.7817071845342555,0.37868669843657377,-0.09395251415938255,-0.9454186391073787,-0.4919259818877775,0.5016510382191615,0.991769874999116
awe_100km_box_frame_0067,0.8956012773452817,-0.19711914014690757,-0.9223712931506219,-0.6992560371428522,0.26758314089456325,-0.1609197728249846,-0.9804003836789522,-0.5509735373240616,0.38236486864939057,0.9800631900465482
awe_100km_box_frame_0068,0.9427323142806621,-0.01027751579796743,-0.7923777874459883,-0.8104037055186872,0.3497622721179754,-0.08697108427065514,-0.9609920112600575,-0.5271332807988858,0.4947575359846892,0.9825943799566519
awe_100km_box_frame_0069,0.9649931255553297,0.06070993444790029,-0.854410046120013,-0.761192753801457,0.3285584144240816,0.030914138849243322,-0.897375927530895,-0.6127036026876975,0.5537860004903781,0.9674336012342553
awe_100km_box_frame_0070,0.8878197768601506,-0.1460535596278143,-0.8534520454592681,-0.7828160147725524,0.2572156133475745,0.04411463434394847,-0.906789216436915,-0.6414307233037639,0.37897878988292377,0.9966254478310295
awe_100km_box_frame_0071,0.8945812254107965,-0.10736560212682644,-0.8996396954796697,-0.7427609716222834,0.2568649386585733,-0.09646725881616225,-0.9837342140753589,-0.39628205838167085,0.6398140433829191,0.9713680537891654
awe_100km_box_frame_0072,0.9196034588715309,-0.1804539174680453,-0.9110823399368484,-0.7276210784090504,0.30029296639429726,-0.12403132669679784,-0.9443674336016691,-0.586219448004974,0.4179651033224645,0.9846885541205075
awe_100km_box_frame_0073,0.9778409677202009,-0.06470167939150528,-0.8805119749617834,-0.680564801237727,0.4575693881348879,-0.20497257749882325,-0.9877742626990247,-0.47952984773696905,0.39782953771743745,0.9692358924827063
awe_100km_box_frame_0074,0.9605681287874275,-0.056334921188677556,-0.8979875591382793,-0.6513158352683937,0.3859520791352926,0.008921308658439209,-0.9081895434464989,-0.6259901325833426,0.4023440979695774,0.9797119224856046
awe_100km_box_frame_0075,0.883000956143885,-0.3132642248256995,-0.8964417657115828,-0.8651918183212051,0.2151199867012712,-0.23694320963775617,-0.943344384711653,-0.5692732917712631,0.5022995851485565,0.9724660219741357
awe_100km_box_frame_0076,0.9459019396903108,-0.04038246590001271,-0.8703535343775083,-0.7369560595311201,0.24456054796762183,-0.10802815583572145,-0.9728601609745509,-0.43371430658714627,0.45967389045089546,0.9990402622086261
