distance_km,best_shift_pixels,maximum_correlation
1.520000000000000000e+02,2.000000000000000000e+00,9.989008057618757874e-01
1.530000000000000000e+02,2.000000000000000000e+00,9.988948433871281951e-01
1.540000000000000000e+02,2.000000000000000000e+00,9.988904131704089417e-01
1.550000000000000000e+02,2.000000000000000000e+00,9.988866131791062086e-01
1.560000000000000000e+02,2.000000000000000000e+00,9.988827254184013960e-01
1.570000000000000000e+02,2.000000000000000000e+00,9.988792827571538746e-01
1.580000000000000000e+02,2.000000000000000000e+00,9.988777677177032022e-01
1.590000000000000000e+02,2.000000000000000000e+00,9.988792371468362408e-01
1.600000000000000000e+02,2.000000000000000000e+00,9.988833012461040273e-01
1.610000000000000000e+02,2.000000000000000000e+00,9.988882605851556740e-01
1.620000000000000000e+02,2.000000000000000000e+00,9.988919748499065498e-01
1.630000000000000000e+02,2.000000000000000000e+00,9.988924187439797153e-01
1.640000000000000000e+02,3.000000000000000000e+00,9.988943808833437021e-01
1.650000000000000000e+02,3.000000000000000000e+00,9.988988736518497058e-01
1.660000000000000000e+02,3.000000000000000000e+00,9.988965239151437192e-01
1.670000000000000000e+02,3.000000000000000000e+00,9.988842724580890842e-01
1.680000000000000000e+02,3.000000000000000000e+00,9.988629554382593145e-01
1.690000000000000000e+02,3.000000000000000000e+00,9.988394450574781258e-01
1.700000000000000000e+02,3.000000000000000000e+00,9.988207937194999442e-01
1.710000000000000000e+02,3.000000000000000000e+00,9.988094665121718396e-01
1.720000000000000000e+02,3.000000000000000000e+00,9.988058453160970629e-01
1.730000000000000000e+02,3.000000000000000000e+00,9.988099981602491795e-01
1.740000000000000000e+02,3.000000000000000000e+00,9.988196521330729993e-01
1.750000000000000000e+02,3.000000000000000000e+00,9.988302425203402501e-01
1.760000000000000000e+02,3.000000000000000000e+00,9.988379618247218428e-01
1.770000000000000000e+02,3.000000000000000000e+00,9.988418301985239056e-01
1.780000000000000000e+02,3.000000000000000000e+00,9.988430320361243453e-01
1.790000000000000000e+02,3.000000000000000000e+00,9.988428280935917059e-01
1.800000000000000000e+02,3.000000000000000000e+00,9.988409647951133064e-01
1.810000000000000000e+02,3.000000000000000000e+00,9.988356271687595100e-01
1.820000000000000000e+02,3.000000000000000000e+00,9.988247470213245105e-01
1.830000000000000000e+02,3.000000000000000000e+00,9.988075203153644610e-01
1.840000000000000000e+02,3.000000000000000000e+00,9.987850110759357580e-01
1.850000000000000000e+02,3.000000000000000000e+00,9.987594427830983612e-01
1.860000000000000000e+02,3.000000000000000000e+00,9.987325841471124122e-01
1.870000000000000000e+02,3.000000000000000000e+00,9.987045534179205264e-01
1.880000000000000000e+02,3.000000000000000000e+00,9.986746907453963873e-01
1.890000000000000000e+02,3.000000000000000000e+00,9.986442793809823248e-01
1.900000000000000000e+02,3.000000000000000000e+00,9.986179282672690283e-01
1.910000000000000000e+02,3.000000000000000000e+00,9.986010563481544366e-01
1.920000000000000000e+02,3.000000000000000000e+00,9.985956753526410434e-01
1.930000000000000000e+02,3.000000000000000000e+00,9.985989771329844000e-01
1.940000000000000000e+02,3.000000000000000000e+00,9.986049793854414602e-01
1.950000000000000000e+02,3.000000000000000000e+00,9.986053962254817229e-01
1.960000000000000000e+02,3.000000000000000000e+00,9.985914572028180558e-01
1.970000000000000000e+02,3.000000000000000000e+00,9.985645017948601154e-01
1.980000000000000000e+02,3.000000000000000000e+00,9.985452315765551701e-01
